Gene stable ID	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name	Gene type	UniProtKB-Gene Ontology Annotation ID	UniProtKB/Swiss-Prot ID
PF3D7_0223500	erythrocyte membrane protein 1, PfEMP1	2	916352	923648	-1		protein_coding	O96296	
PF3D7_0213100	protein SIS1	2	537789	539420	1		protein_coding	O96212	
PF3D7_0217200	conserved Plasmodium protein, unknown function	2	709799	715252	-1		protein_coding		
PF3D7_0218000	replication factor C subunit 2, putative	2	738860	739852	1		protein_coding	O96260	
PF3D7_0214800	conserved Plasmodium membrane protein, unknown function	2	605045	609325	1		protein_coding	O96228	
PF3D7_0204100	conserved Plasmodium protein, unknown function	2	182228	189115	-1		protein_coding		
PF3D7_0205100	conserved Plasmodium protein, unknown function	2	214838	217348	-1		protein_coding		
PF3D7_0200200	rifin	2	33030	34259	-1		protein_coding	O96109	
PF3D7_0218500	small nuclear ribonucleoprotein Sm D2, putative	2	752966	753439	1		protein_coding	O96265	
PF3D7_0214100	protein transport protein SEC31	2	568529	573315	-1		protein_coding	O96221	
PF3D7_0211500	GAF domain-related protein, putative	2	463163	466900	1		protein_coding		
PF3D7_0211600	UDP-N-acetylglucosamine transferase subunit ALG14, putative	2	467847	468476	1		protein_coding	O96196	
PF3D7_0215200	conserved Plasmodium protein, unknown function	2	626976	627710	1		protein_coding		
PF3D7_0212200	mitochondrial ribosomal protein L12 precursor,putative	2	489904	490818	-1		protein_coding	O96202	
PF3D7_0215800	origin recognition complex subunit 5	2	650663	653362	-1		protein_coding	O96237	
PF3D7_0207400	serine repeat antigen 7	2	294273	297616	-1		protein_coding	O96163	
PF3D7_0214200	mitochondrial ribosomal protein L13 precursor,putative	2	575155	576054	-1		protein_coding	O96222	
PF3D7_0218300	apicoplast RNA methyltransferase precursor,putative	2	747566	749365	-1		protein_coding	O96263	
PF3D7_0205600	conserved Plasmodium protein, unknown function	2	228025	229932	1		protein_coding		
PF3D7_0219900	Plasmodium exported protein, unknown function	2	791464	792381	1		protein_coding		
PF3D7_0201800	knob associated heat shock protein 40	2	86832	88791	-1		protein_coding	O96123	
PF3D7_0205800	conserved Plasmodium protein, unknown function	2	232729	233476	-1		protein_coding		
PF3D7_0212000	GDP-fructose:GMP antiporter, putative	2	480100	481432	1		protein_coding	O96200	
PF3D7_0202300	Plasmodium exported protein (hyp11), unknown function	2	117225	118235	1		protein_coding	O96126	
PF3D7_0222800	stevor	2	899430	900445	1		protein_coding	O96291	
PF3D7_0203400	conserved Plasmodium protein, unknown function	2	162065	162900	-1		protein_coding		
PF3D7_0205400	PCI domain-containing protein, putative	2	223478	224851	1		protein_coding	O96149	
PF3D7_0208900	6-cysteine protein	2	360828	368354	1		protein_coding	A0A144A0J8	O96175
PF3D7_0202400	gamete antigen 27/25, putative	2	120524	124102	1		protein_coding		
PF3D7_0203300	ERCC1 nucleotide excision repair protein,putative	2	160514	161242	1		protein_coding	O96136	
PF3D7_0210000	secretory complex protein 61 gamma subunit	2	409983	410228	1		protein_coding	O96183	
PF3D7_0212400	conserved Plasmodium membrane protein, unknown function	2	495166	507854	-1		protein_coding	O96204	
PF3D7_0220300	Plasmodium exported protein, unknown function	2	813827	814654	-1		protein_coding	Q8I654	
PF3D7_0206800	merozoite surface protein 2	2	273689	274507	-1		protein_coding	A0A143ZX41	P50498
PF3D7_0217900	conserved Plasmodium protein, unknown function	2	735438	736997	-1		protein_coding	O96259	
PF3D7_0204700	hexose transporter	2	205889	207403	-1		protein_coding	Q7KWJ5	
PF3D7_0208700.2	conserved Plasmodium protein, unknown function	2	356501	358014	-1		protein_coding	Q8I662	
PF3D7_0206200	pantothenate transporter	2	249030	250727	1		protein_coding	O96156	
PF3D7_0209100	phospholipase A2, putative	2	381130	383445	-1		protein_coding	O96176	
PF3D7_0212900	Leu/Phe-tRNA protein transferase, putative	2	533253	534350	1		protein_coding	O96210	
PF3D7_0208600	ribosome-recycling factor	2	354621	356117	1		protein_coding	O96173	
PF3D7_0214000	T-complex protein 1 subunit theta	2	566121	567894	1		protein_coding	O96220	
PF3D7_0200600	rifin	2	45286	46558	-1		protein_coding	O96113	
PF3D7_0223200	rifin	2	907678	908861	1		protein_coding	O96293	
PF3D7_0201000	rifin	2	57344	58421	-1		protein_coding	O96116	
PF3D7_0208100.1	conserved Plasmodium protein, unknown function	2	327932	335203	1		protein_coding	O96168	
PF3D7_0208200	KRR1 small subunit processome component,putative	2	335679	336581	-1		protein_coding	O96169	
PF3D7_0207000	merozoite surface protein 4	2	277494	278456	-1		protein_coding	Q7KWJ2	
PF3D7_0212100	conserved Plasmodium protein, unknown function	2	483436	488970	1		protein_coding	O96201	
PF3D7_0202200	EMP1-trafficking protein	2	112547	113682	-1		protein_coding	Q8I669	
PF3D7_0202600.1	conserved Plasmodium protein, unknown function	2	129342	133563	-1		protein_coding		
PF3D7_0219500	pseudouridine synthase, putative	2	776828	778065	-1		protein_coding	O96270	
PF3D7_0201700	DnaJ protein, putative	2	81291	84165	-1		protein_coding		
PF3D7_0215300	acyl-CoA synthetase	2	628642	631308	-1		protein_coding	O96232	
PF3D7_0216600	MtN3-like protein	2	686485	688545	1		protein_coding	O96245	
PF3D7_0220100	DnaJ protein, putative	2	804520	807741	1		protein_coding		
PF3D7_0222000	exported protein family 1	2	876984	877832	1		protein_coding	O97462	
PF3D7_0211100	conserved Plasmodium protein, unknown function	2	451751	455116	1		protein_coding		
PF3D7_0206500	conserved Plasmodium protein, unknown function	2	263037	267347	-1		protein_coding		
PF3D7_0217100	ATP synthase F1, alpha subunit	2	707738	709393	1		protein_coding	O96252	
PF3D7_0220700	Plasmodium exported protein (hyp9), unknown function	2	833805	834688	1		protein_coding		
PF3D7_0223300	erythrocyte membrane protein 1 (PfEMP1), exon 2	2	909350	911054	1		protein_coding		
PF3D7_0210600	conserved Plasmodium protein, unknown function	2	432041	434086	-1		protein_coding		
PF3D7_0207300	serine repeat antigen 8	2	290168	292703	-1		protein_coding	A0A143ZWJ1	
PF3D7_0207200	iron-sulfur assembly protein, putative	2	288183	288665	-1		protein_coding	O96161	
PF3D7_0222200	exported protein family 3	2	881469	882267	-1		protein_coding	O97474	
PF3D7_0220000	liver stage antigen 3	2	796752	801586	1		protein_coding		
PF3D7_0221000	Plasmodium exported protein, unknown function	2	848092	849119	1		protein_coding	A0A143ZXW4	
PF3D7_0210500	conserved Plasmodium protein, unknown function	2	427490	431530	1		protein_coding		
PF3D7_0222700	rifin	2	896226	897420	1		protein_coding	O96290	
PF3D7_0219600	replication factor C subunit 1, putative	2	779418	782132	-1		protein_coding	O96271	
PF3D7_0207700	serine repeat antigen 4	2	308847	312155	-1		protein_coding	O96164	
PF3D7_0203600	conserved Plasmodium protein, unknown function	2	166144	168051	1		protein_coding		
PF3D7_0215000	acyl-CoA synthetase	2	616772	619429	-1		protein_coding	O96230	
PF3D7_0203700	protein MAK16, putative	2	168682	170136	-1		protein_coding		
PF3D7_0203800	conserved Plasmodium protein, unknown function	2	171563	174912	-1		protein_coding		
PF3D7_0204200	conserved Plasmodium protein, unknown function	2	192818	194199	1		protein_coding	Q8I665	
PF3D7_0216400	vacuolar protein sorting-associated protein 45,putative	2	675431	677599	1		protein_coding	O96243	
PF3D7_0203900	5'-3' exonuclease, N-terminal resolvase-like domain, putative	2	176567	178300	1		protein_coding	O96139	
PF3D7_0205200	conserved Plasmodium protein, unknown function	2	217882	218907	-1		protein_coding		
PF3D7_0206900.1	merozoite surface protein 5	2	275540	276494	-1		protein_coding		
PF3D7_0218700	pre-mRNA-processing protein 45, putative	2	763491	765191	-1		protein_coding	O96267	
PF3D7_0204800	3'-5' exonuclease, putative	2	209583	210833	-1		protein_coding	O96144	
PF3D7_0210900	conserved Plasmodium protein, unknown function	2	442080	442934	-1		protein_coding		
PF3D7_0207100	conserved Plasmodium protein, unknown function	2	281907	287345	1		protein_coding		O96160
PF3D7_0210100.2	60S ribosomal protein L37ae, putative	2	412275	412741	1		protein_coding	A0A143ZY21	
PF3D7_0216300	conserved Plasmodium protein, unknown function	2	670413	674558	1		protein_coding	A0A143ZWT2	
PF3D7_0217600	conserved Plasmodium protein, unknown function	2	723747	729932	-1		protein_coding		
PF3D7_0211300	ubiquinol-cytochrome-c reductase complex assembly factor 1, putative	2	457130	458585	-1		protein_coding		
PF3D7_0221700	Plasmodium exported protein, unknown function	2	869508	871124	-1		protein_coding		
PF3D7_0209800	ATP-dependent RNA helicase UAP56	2	404281	406355	-1		protein_coding	Q9TY94	
PF3D7_0210100.1	60S ribosomal protein L37ae, putative	2	412275	412859	1		protein_coding	A0A143ZYX3	O96184
PF3D7_0221800	hypothetical protein	2	873131	873319	1		protein_coding		
PF3D7_0211700	tyrosine kinase-like protein, putative	2	469790	473491	1		protein_coding	O96197	
PF3D7_0210300	monocarboxylate transporter, putative	2	423063	424654	-1		protein_coding	O96186	
PF3D7_0208300	conserved Plasmodium protein, unknown function	2	337558	342966	1		protein_coding		
PF3D7_0208400	conserved Plasmodium protein, unknown function	2	343308	349340	-1		protein_coding		
PF3D7_0202900	palmitoyltransferase, putative	2	138927	141192	1		protein_coding	A0A146M427	
PF3D7_0218400	ATP-dependent RNA helicase DDX47, putative	2	750049	751737	-1		protein_coding	O96264	
PF3D7_0210400	50S ribosomal protein L33, putative	2	425689	426497	1		protein_coding	C6S3B5	
PF3D7_0218100	conserved Plasmodium membrane protein, unknown function	2	741014	742459	1		protein_coding		
PF3D7_0213000	conserved Plasmodium protein, unknown function	2	535646	536146	1		protein_coding		
PF3D7_0217000	conserved Plasmodium membrane protein, unknown function	2	703090	706587	-1		protein_coding		
PF3D7_0204900	ubiE/COQ5 methyltransferase, putative	2	211348	212627	1		protein_coding	O96145	
PF3D7_0215700	DNA-directed RNA polymerase II subunit RPB2,putative	2	645929	650085	1		protein_coding	O96236	
PF3D7_0219800	Plasmodium exported protein (PHISTc), unknown function	2	786870	787940	-1		protein_coding		
PF3D7_0207900	serine repeat antigen 2	2	317596	321310	-1		protein_coding	O96166	
PF3D7_0200700	rifin	2	48923	50147	-1		protein_coding	O96114	
PF3D7_0201500	Plasmodium exported protein (hyp9), unknown function	2	73441	74396	-1		protein_coding	O96120	
PF3D7_0204400	dynein light chain, putative	2	197219	198043	-1		protein_coding	C6S3A9	
PF3D7_0202100	liver stage associated protein 2	2	109564	110580	-1		protein_coding		
PF3D7_0219400.1	ribosome associated membrane protein RAMP4,putative	2	774815	776036	1		protein_coding	Q8I655	
PF3D7_0206700	adenylosuccinate lyase	2	271594	273009	1		protein_coding	Q7KWJ4	
PF3D7_0214600	serine/threonine protein kinase, putative	2	594196	599340	1		protein_coding	O96226	
PF3D7_0210200	conserved Plasmodium protein, unknown function	2	413278	421137	-1		protein_coding		
PF3D7_0209000	6-cysteine protein	2	370438	379845	1		protein_coding		P68874
PF3D7_0214300	conserved Plasmodium protein, unknown function	2	578662	586164	1		protein_coding		
PF3D7_0220600	Plasmodium exported protein (hyp9), unknown function	2	831189	832005	1		protein_coding	O96278	
PF3D7_0220500	Plasmodium exported protein (hyp2), unknown function	2	823825	824864	-1		protein_coding		
PF3D7_0211800	asparagine--tRNA ligase	2	475242	477074	1		protein_coding	O96198	
PF3D7_0205700.1	RNA-binding protein, putative	2	231141	232529	1		protein_coding	O96152	
PF3D7_0211200	ras-related protein Rab-5A	2	455579	456286	-1		protein_coding	O96193	
PF3D7_0213600	conserved Plasmodium protein, unknown function	2	546482	555294	-1		protein_coding		
PF3D7_0201300	stevor	2	66529	67545	1		protein_coding	O96118	
PF3D7_0216100	conserved Plasmodium protein, unknown function	2	664984	668532	-1		protein_coding		
PF3D7_0212700	SRR1-like protein	2	524700	526043	-1		protein_coding	O96208	
PF3D7_0211900	conserved Plasmodium protein, unknown function	2	477432	479091	-1		protein_coding	O96199	
PF3D7_0216800	conserved Plasmodium membrane protein, unknown function	2	696193	699561	-1		protein_coding	O96246	
PF3D7_0202800	conserved Plasmodium protein, unknown function	2	137557	138389	-1		protein_coding		
PF3D7_0207500	serine repeat antigen 6	2	298897	302564	-1		protein_coding	Q9TY96	
PF3D7_0209200	3'exoribonuclease, putative	2	384865	386580	-1		protein_coding	O96177	
PF3D7_0205700.2	RNA-binding protein, putative	2	231141	232529	1		protein_coding	A0A143ZWH6	
PF3D7_0223100	rifin	2	904551	905775	1		protein_coding	O96292	
PF3D7_0215900	palmitoyltransferase, putative	2	654918	656840	-1		protein_coding	O96238	
PF3D7_0201600	PHISTb domain-containing RESA-like protein 1	2	77251	78808	-1		protein_coding	O96121	
PF3D7_0219700	Plasmodium exported protein (PHISTc), unknown function	2	783723	784828	-1		protein_coding		
PF3D7_0216500	conserved Plasmodium protein, unknown function	2	678487	683703	1		protein_coding		
PF3D7_0210700	syntaxin, Qa-SNARE family	2	436050	436994	1		protein_coding	O96189	
PF3D7_0219200	40S ribosomal protein S30	2	772316	772690	1		protein_coding	A0A144A0U2	O96269
PF3D7_0220200	Plasmodium exported protein, unknown function	2	809511	810298	-1		protein_coding	Q7KWI7	
PF3D7_0208500	acyl carrier protein	2	352836	353628	1		protein_coding	Q7KWJ1	
PF3D7_0220800	cytoadherence linked asexual protein 2	2	838843	844116	1		protein_coding	O96279	
PF3D7_0214700	conserved Plasmodium protein, unknown function	2	599829	601712	-1		protein_coding		
PF3D7_0209500	conserved Plasmodium protein, unknown function	2	391275	392789	-1		protein_coding		
PF3D7_0207600	serine repeat antigen 5	2	303593	307027	-1		protein_coding	A0A143ZWK2	Q9TY95
PF3D7_0217500	calcium-dependent protein kinase 1	2	720437	722661	1		protein_coding	A0A143ZWW4	P62344
PF3D7_0217700	E2F-associated phosphoprotein, putative	2	731120	732312	-1		protein_coding	Q8I657	
PF3D7_0216200	conserved Plasmodium protein, unknown function	2	668985	669841	-1		protein_coding	O96240	
PF3D7_0212300	peptide chain release factor subunit 1,putative	2	492616	494306	1		protein_coding	O96203	
PF3D7_0219100	conserved protein, unknown function	2	769761	771041	1		protein_coding	O96268	
